id	CHR	START	STOP	nsnps	logBF_locus.a	logBF_locus.a,b	logBF_locus.a,c	logBF_locus.a,bc	logBF_locus.a,b,c	logBF_locus.b	logBF_locus.b,c	logBF_locus.ac,b	logBF_locus.c	logBF_locus.ab,c	logBF_locus.ab	logBF_locus.ac	logBF_locus.bc	logBF_locus.abc	logBF_locus.zero	bf.a	bf.a,b	bf.a,c	bf.a,bc	bf.a,b,c	bf.b	bf.b,c	bf.ac,b	bf.c	bf.ab,c	bf.ab	bf.ac	bf.bc	bf.abc	bf.zero	PPA.a	PPA.a,b	PPA.a,c	PPA.a,bc	PPA.a,b,c	PPA.b	PPA.b,c	PPA.ac,b	PPA.c	PPA.ab,c	PPA.ab	PPA.ac	PPA.bc	PPA.abc	PPA.zero	best.snp.a	best.snp.b	best.snp.ab	best.snp.c	best.snp.ac	best.snp.bc	best.snp.abc	best.snp.PPA.a	best.snp.PPA.b	best.snp.PPA.ab	best.snp.PPA.c	best.snp.PPA.ac	best.snp.PPA.bc	best.snp.PPA.abc	minpi	minpi.snp	minpi.snp.betas	best.snp.se	best.snp.betas	best.snp.se
ENSG00000182511_cg19348484	15	91397733	91431856	52	17.6416688034844	26.0391341567735	25.7820055853461	35.2827930878632	38.1392025490222	8.40461008475263	16.4870974514795	31.5258010664191	8.14181904742893	33.1746600764316	25.052572315924	23.2198069552981	17.6435418120415	33.2102359257925	0	21.5929125220658	33.9416215939363	33.6844930225089	43.1852805250261	46.041689986185	12.3558538033341	24.3895848886423	39.4282885035819	12.0930627660104	41.0771475135944	29.0038160345054	27.1710506738796	21.594785530623	37.1614796443739	0	0.00011	0.0026	0.002	0.27	0.046	1.1e-08	1.8e-07	0.0062	8.3e-09	0.032	0.0018	0.00029	1.1e-06	0.64	4.7e-10	15:91416550	15:91416550	15:91416550	15:91422543	15:91422543	15:91422543	15:91416550	0.68	0.94	0.68	0.92	0.65	0.91	0.64	2.3e-12,1.89e-07,4.54e-08	15:91426560,15:91416550,15:91428290	-0.0784048829742783,-0.0976094749914052,-0.0170752671682444	0.00299,0.00299,0.00299,0.00292,0.00292,0.00292,0.00299	0.0154,0.0154,0.0154,-0.0169,-0.0169,-0.0169,0.0154	0.00299,0.00299,0.00299,0.00292,0.00292,0.00292,0.00299
ENSG00000140564_cg24888049	15	91406986	91446472	54	17.6039838533917	33.9083563757959	24.4556627678315	43.7284246457735	47.2647339012444	18.7942925286438	25.6422129751514	43.594272613696	7.31311472175187	47.1275555752684	40.3007035674434	27.9108084906871	29.1074946943695	50.6484975436837	0	21.592967899956	41.8863244689245	32.4336308609601	51.7063927389021	55.242701994373	22.783276575208	33.6201810682799	51.5722407068246	11.3020987683161	55.1055236683969	44.2896876140077	31.8997925372514	33.0964787409338	54.637481590248	0	4.4e-12	2.9e-07	2.3e-11	5.3e-05	1.8e-05	1.5e-11	7.4e-11	4.7e-05	1.5e-16	0.0016	0.00032	1.3e-09	4.4e-09	1	1.9e-17	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	1	1	1	1	1	1	1	2.3e-12,4.49e-13,3.68e-08	15:91426560,15:91426560,15:91426560	-0.0784048829742783,0.0709706743716413,0.0137272231844415	0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232	0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137	0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232
ENSG00000182511_cg24888049	15	91406986	91446472	54	17.6039838533917	26.076061437053	24.4556627678315	34.5558221146694	37.3839416106537	8.47866637577758	15.7300298601974	36.3872890032441	7.31311472175187	32.2279438036714	25.0459564508546	27.9108084906871	16.9654071384415	34.2516217186694	0	21.592967899956	34.0540295301815	32.4336308609601	42.5337902077979	45.3619097037822	12.4676504223419	23.707997953326	44.3652570963727	11.3020987683161	40.2059118967999	29.0349404974189	31.8997925372514	20.9543911850058	38.2406057652337	0	3.8e-05	0.00097	0.00019	0.047	0.0079	4.1e-09	3.1e-08	0.29	1.3e-09	0.0045	0.00064	0.011	2e-07	0.64	1.6e-10	15:91416550	15:91416550	15:91416550	15:91416550	15:91426560	15:91416550	15:91416550	0.94	0.69	0.64	0.99	0.94	0.68	0.64	2.3e-12,1.89e-07,3.68e-08	15:91426560,15:91416550,15:91426560	-0.0784048829742783,-0.0976094749914052,0.0137272231844415	0.00238,0.00238,0.00238,0.00238,0.00232,0.00238,0.00238	0.0134,0.0134,0.0134,0.0134,0.0137,0.0134,0.0134	0.00238,0.00238,0.00238,0.00238,0.00232,0.00238,0.00238
ENSG00000140564_cg11358405	15	91363303	91402803	56	0.727149720122401	3.66051878044391	6.26068300050967	5.59582292881944	13.3590824704909	3.07160787166486	8.60615590047528	6.81518625590849	5.53498261493174	11.3119230235772	5.77701342633011	3.75010868329681	4.89060846710697	5.81250233310715	0	4.75250141085755	11.7112221619142	14.31138638198	13.6465263102897	21.4097858519612	7.09695956240001	16.6568592819456	14.8658896373788	9.56033430566688	19.3626264050475	9.80236511706526	7.77546037403196	8.91596015784212	9.8378540238423	0	0.0041	0.00044	0.0059	3e-05	0.00071	0.043	0.061	1e-04	0.51	0.0092	0.0065	0.00085	0.0027	0.00067	0.36	15:91400208	15:91400208	15:91400208	15:91382995	15:91382995	15:91400208	15:91400208	0.017	0.019	0.016	0.0043	0.0016	0.0034	0.00067	0.000753,1.63e-05,8.11e-08	15:91375065,15:91400208,15:91382995	-0.04470452178448,-0.0440916811423647,-0.0174964004095186	0.00356,0.00356,0.00356,0.00304,0.00304,0.00356,0.00356	-0.00413,-0.00413,-0.00413,-0.0175,-0.0175,-0.00413,-0.00413	0.00356,0.00356,0.00356,0.00304,0.00304,0.00356,0.00356
ENSG00000140564_cg13947995	15	91407994	91447766	53	17.6224108845717	33.961311236009	22.1106068765512	38.3360126037102	44.9170485268983	18.8354391417538	23.3229583544816	37.6672853976436	4.49061964939488	44.8309340245372	40.3421813514107	20.0596333125161	21.5185885698091	42.5187244458775	0	21.5927027981239	41.9018950631132	30.0511907036555	46.2765964308144	52.8576323540025	22.8057310553059	31.2635421815859	45.6078692247478	8.460911562947	52.7715178516414	44.3124732649629	24.0299252260683	25.4888804833612	46.4890163594296	0	5.8e-09	0.00038	2.7e-09	3e-04	0.0022	1.9e-08	9.1e-09	0.00015	1.1e-14	0.2	0.42	6.6e-10	2.8e-09	0.37	2.4e-14	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	1	1	1	0.37	0.37	0.37	0.37	2.3e-12,4.49e-13,4.62e-06	15:91426560,15:91426560,15:91428521	-0.0784048829742783,0.0709706743716413,-0.0279038885977896	0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055	0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165	0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055
ENSG00000182511_cg13947995	15	91407994	91447766	53	17.6224108845717	26.1199374071064	22.1106068765512	27.9836951258642	34.5874350509773	8.50411975078177	12.9933760437526	28.5607961489043	4.49061964939488	29.5613470100273	25.0718155662293	20.0596333125161	10.366544052197	26.7089578950164	0	21.5927027981239	34.0605212342106	30.0511907036555	35.9242789529684	42.5280188780815	12.4744116643339	20.9339598708568	36.5013799760085	8.460911562947	37.5019308371316	29.0421074797814	24.0299252260683	14.3368359657491	30.6792498085685	0	0.013	0.33	0.006	0.021	0.16	1.4e-06	6.6e-07	0.038	2.5e-08	0.1	0.22	0.0015	9e-08	0.11	5.3e-08	15:91416550	15:91416550	15:91416550	15:91416550	15:91426560	15:91416550	15:91416550	0.47	0.45	0.43	0.17	0.15	0.13	0.11	2.3e-12,1.89e-07,4.62e-06	15:91426560,15:91416550,15:91428521	-0.0784048829742783,-0.0976094749914052,-0.0279038885977896	0.00562,0.00562,0.00562,0.00562,0.0055,0.00562,0.00562	0.0148,0.0148,0.0148,0.0148,0.0165,0.0148,0.0148	0.00562,0.00562,0.00562,0.00562,0.0055,0.00562,0.00562
ENSG00000140564_cg01321816	15	91361936	91376978	53	0.682307835702567	-0.02848639787819	4.26482162805469	3.38585992350938	7.54655823866626	-0.690396496857001	2.87823891909672	1.24829673281038	3.58438645525981	3.64251709817697	0.0596903909276247	1.95565617292394	2.7055677613828	1.15035798458456	0	4.65259974925469	7.91209742922605	12.2054054551589	11.3264437506136	15.4871420657705	3.27989541669512	10.818822746201	9.18888055991462	7.55467836881193	11.5831009252812	4.02998230447975	5.92594808647606	6.67585967493493	5.12064989813669	0	0.0087	2.3e-05	0.0017	6.9e-06	4.4e-06	0.0022	0.00041	8.1e-07	0.16	8.9e-06	4.7e-05	0.00031	0.00066	1.4e-05	0.83	15:91362001	15:91362001	15:91375065	15:91362001	15:91362001	15:91362001	15:91362001	0.00038	0.00073	6.9e-05	0.00099	0.00032	0.00068	1.4e-05	0.000753,0.235,6.26e-06	15:91375065,15:91363303,15:91362001	-0.04470452178448,-0.0151193464190815,-0.0152471523064019	0.00321,0.00321,0.00436,0.00321,0.00321,0.00321,0.00321	-0.0152,-0.0152,-0.00388,-0.0152,-0.0152,-0.0152,-0.0152	0.00321,0.00321,0.00436,0.00321,0.00321,0.00321,0.00321
ENSG00000140564_cg13579205	15	91427612	91467516	64	12.0260632809212	25.770676630586	16.006459194975	26.1124321095005	33.9908409929197	13.8249832280632	17.8055157215139	26.4201838600235	3.98095374870862	31.4293031938743	27.4488979571011	12.6741732515663	14.1923378452485	28.0801590272685	0	16.1849463642809	34.0884427973053	24.3242253616944	34.4301982762198	42.308607159639	17.9838663114229	26.1232818882332	34.7379500267429	8.13983683206829	39.7470693605936	31.6077810404607	16.833056334926	18.3512209286082	32.2390421106282	0	1.2e-05	0.07	4e-06	0.00099	0.026	7.1e-05	2.4e-05	0.0013	3.8e-09	0.2	0.59	2.3e-07	1e-06	0.11	1.1e-08	15:91428197	15:91428636	15:91428636	15:91428636	15:91428197	15:91428636	15:91428636	0.9	0.9	0.9	0.11	0.11	0.11	0.11	2.37e-09,6.2e-10,5.7e-06	15:91428197,15:91428521,15:91456102	-0.0655950790984102,-0.0671394386734688,0.0154640806218864	0.00305,0.00305,0.00305,0.00305,0.00305,0.00305,0.00305	0.00638,-0.00637,-0.00637,-0.00637,0.00638,-0.00637,-0.00637	0.00305,0.00305,0.00305,0.00305,0.00305,0.00305,0.00305
ENSG00000182511_cg13579205	15	91427612	91467516	64	12.0260632809212	19.5259725309578	16.006459194975	20.0708837671034	27.7642512835063	7.59841393992115	11.5788489747649	20.1531827762014	3.98095374870862	25.3971455299798	21.4168611065906	12.6741732515663	8.17383327936084	22.2471229558094	0	16.1849463642809	27.8437386976771	24.3242253616944	28.3886499338227	36.0820174502257	11.7572970232808	19.8966151414842	28.4709489429207	8.13983683206829	33.7149116966991	25.5757441899503	16.833056334926	12.3327163627205	26.4060060391691	0	0.0049	0.056	0.0017	0.00097	0.021	5.8e-05	2e-05	0.0011	1.6e-06	0.2	0.58	9.3e-05	1e-06	0.13	4.5e-06	15:91429042	15:91429042	15:91429042	15:91429042	15:91429042	15:91429042	15:91429042	0.92	0.91	0.91	0.14	0.13	0.13	0.13	2.37e-09,5.38e-07,5.7e-06	15:91428197,15:91429042,15:91456102	-0.0655950790984102,0.0938294293918497,0.0154640806218864	0.00305,0.00305,0.00305,0.00305,0.00305,0.00305,0.00305	-0.00637,-0.00637,-0.00637,-0.00637,-0.00637,-0.00637,-0.00637	0.00305,0.00305,0.00305,0.00305,0.00305,0.00305,0.00305
ENSG00000140564_cg26899598	15	91409409	91449015	54	17.6036592469959	33.9324118840227	21.5324137300424	37.4575113722779	44.3500262810891	18.8277913546666	22.7563671146078	37.2641002233952	3.93278911487606	44.2640030539512	40.3346981563095	20.0105755451529	21.2779625263055	42.5952178450276	0	21.5926432935602	41.9103799771512	29.5103818231709	45.4354794654065	52.3279943742176	22.8167754012309	30.7343352077364	45.2420683165238	7.92177316144034	52.2419711470798	44.3236822028738	23.9995595917171	25.2669465728698	46.5842018915919	0	6e-09	4e-04	1.6e-09	0.00014	0.0013	2e-08	5.6e-09	0.00011	6.9e-15	0.12	0.45	6.7e-10	2.4e-09	0.43	2.5e-14	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	1	1	1	0.43	0.43	0.43	0.43	2.3e-12,4.49e-13,6.9e-06	15:91426560,15:91426560,15:91427872	-0.0784048829742783,0.0709706743716413,0.0119294805485617	0.00243,0.00243,0.00243,0.00243,0.00243,0.00243,0.00243	0.00741,0.00741,0.00741,0.00741,0.00741,0.00741,0.00741	0.00243,0.00243,0.00243,0.00243,0.00243,0.00243,0.00243
ENSG00000182511_cg26899598	15	91409409	91449015	54	17.6036592469959	26.0855608278261	21.5324137300424	29.5371405097915	34.0138602118699	8.488496500388	12.4097811270258	28.4818642300157	3.93278911487606	28.9786719040711	25.0563884560394	20.0105755451529	11.9395048942548	28.4170729148163	0	21.5926432935602	34.0635289209546	29.5103818231709	37.51510860292	41.9918283049985	12.4774805469523	20.3877492201544	36.4598323231442	7.92177316144034	36.9566399971997	29.0453725026037	23.9995595917171	15.928488940819	32.4060569613806	0	0.0085	0.22	0.0023	0.07	0.062	9.4e-07	2.6e-07	0.024	9.8e-09	0.04	0.15	0.00095	3e-07	0.42	3.6e-08	15:91416550	15:91416550	15:91416550	15:91416550	15:91426560	15:91416550	15:91416550	0.64	0.68	0.61	0.52	0.45	0.49	0.42	2.3e-12,1.89e-07,6.9e-06	15:91426560,15:91416550,15:91427872	-0.0784048829742783,-0.0976094749914052,0.0119294805485617	0.00243,0.00243,0.00243,0.00243,0.00243,0.00243,0.00243	0.00878,0.00878,0.00878,0.00878,0.00741,0.00878,0.00878	0.00243,0.00243,0.00243,0.00243,0.00243,0.00243,0.00243
ENSG00000140564_cg06330618	15	91409409	91447867	53	17.6223513539664	33.9687043038378	20.4573712957725	36.6166217678277	43.2737025435833	18.8453137499915	21.6797735580954	36.0448064313116	2.83716399644609	43.187831986968	40.3522135501832	18.2836788771244	19.7384644004758	40.6865275859855	0	21.5926432675185	41.909288130942	28.3979551228768	44.5572055949319	51.2142863706875	22.8156056635437	29.6203573851996	43.9853902584159	6.80745590999821	51.1284158140723	44.3225054637354	22.2539707906766	23.7087563140279	44.6568194995376	0	1.1e-08	0.00073	9.8e-10	1e-04	8e-04	3.7e-08	3.3e-09	5.8e-05	4.1e-15	0.073	0.81	2.1e-10	9.1e-10	0.11	4.6e-14	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	1	1	1	0.11	0.11	0.11	0.11	2.3e-12,4.49e-13,6.88e-05	15:91426560,15:91426560,15:91425232	-0.0784048829742783,0.0709706743716413,0.00871372814808794	0.00206,0.00206,0.00206,0.00206,0.00206,0.00206,0.00206	0.00335,0.00335,0.00335,0.00335,0.00335,0.00335,0.00335	0.00206,0.00206,0.00206,0.00206,0.00206,0.00206,0.00206
